,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,Class
0,27494.666256812743,-4268.93194587395,-63519.06381820758,-6886.197079549348,11551.319600420084,-57545.06437250896,40787.32134663508,17932.91704378698,-11373.915109105008,23230.096033857513,disease
1,-57539.16570277656,4757.688254445403,-67092.89870157847,-8052.204482194314,39217.97601161738,-13032.892844840095,30372.150031355322,-25274.855721400687,7947.0155362663545,-14219.559373460752,disease
2,-85672.79139933712,104415.05337476931,-26104.27093893147,-16393.59613509509,7713.931464328824,39250.23536215411,14207.086312704685,13166.106950096013,4690.391577268268,3857.248125677478,disease
3,-53732.40516463552,22974.106035203204,-9967.306192403006,126153.35560034709,-36157.559444601895,4795.353784753576,1634.2379135724666,-21279.902778873486,-9331.310425538188,887.8148522671845,disease
4,48946.57597815341,10084.126039652137,-55629.12064086197,-65545.82750941071,-22248.58362814052,-38135.826512508494,-37943.17500282183,29528.588701584737,-869.0633584876613,22852.88183380324,disease
5,-60939.01254712282,66761.91682631125,-33938.9417209497,-40452.811597931606,43508.83706652939,47617.50948493922,-27995.548366358045,4356.739958506606,13427.303176011708,20753.128936602752,disease
6,33735.716804385134,112565.20959256744,-26338.58343592637,-18871.544753268507,-13373.635400342064,-46665.9629943404,-8849.855839458824,60329.54655709693,7864.439971676747,5151.205199959672,disease
7,-20220.826434550007,-14604.008867124041,56183.17433861075,-87467.58914039384,10544.063223051173,29707.591480914154,-12643.30237182082,-18831.89327429309,-13504.361644091528,22294.882444494582,disease
8,-21137.276182101035,-99100.54507035611,141038.15196423442,34567.19597914979,72501.50807621457,19323.185800052146,-23792.90123917139,-20650.071706789575,-19010.50675627358,-4573.058935629052,disease
9,182004.95315224194,34307.35301375196,62527.33285926058,-69294.02008730917,36740.213137346866,51196.48485547994,4625.361644844529,-22392.618781422923,-2772.2211094825693,-7283.5205663950255,disease
10,-131649.7524053739,22250.750707388743,-25773.958396000384,-6958.920473676925,-27010.63546562331,1784.788691585794,91412.37543031113,-14858.888176801604,-8680.330222939227,-4227.493154341618,disease
11,-65047.805961722384,180129.41688873444,-3238.592041874892,-47170.01703361551,-479.1155330867909,14023.391047752635,19034.36464156029,1455.4448319849653,18548.983552446796,-2731.2557510240827,disease
12,-42597.65126385313,64948.33121772884,-5287.083064170857,46905.56714718995,-2961.026601971416,8650.808156524035,15175.664784928615,-10363.636267683845,-9514.538158359857,2604.2080199498037,disease
13,86364.69330916244,-72102.51353724688,-42826.38723071248,8385.585774874355,-73158.48448205508,-61304.48043999867,53463.78241182716,-27216.66238865833,-23789.484172258955,7301.033107540243,disease
14,-72772.20213346231,50787.88946025638,-16012.031941733829,37946.23725932588,97892.48163811861,-32775.36431470063,19996.629240139257,-6385.580537581186,-22447.582550800904,32208.818661248035,disease
15,-71976.20185804306,3852.6579415899655,2217.2847006843517,103028.02569503983,4307.602002716307,27019.975648005224,-28143.524249533082,35808.85023323545,-19624.286825967218,11663.448440309572,disease
16,-53044.7606959152,81604.34011780996,-16091.17489842655,-33036.646777325535,-25632.437029172615,-55124.24000310012,-15831.613232763535,60663.59547784624,-1608.9900128987501,16498.56055544635,disease
17,-93996.88476639245,-64423.665807795835,-12774.216141652134,51084.76799167693,82640.652507125,-29711.005515928304,-2648.981989099108,-4583.755810232746,523.568336655714,-5950.097535381146,disease
18,103927.86796756956,16474.676236718802,-49935.76803941187,58360.701575232386,13265.919749106002,13054.680101105283,20792.107622023694,2424.6313331097376,-23272.34492917695,-6621.9788861250745,disease
19,9451.537864346548,114114.10246252318,-29985.873682156962,22147.470275034953,59882.14337856076,-15761.350334004941,-30753.816927565484,3495.10453990283,2626.898049122608,-3778.47323741153,disease
20,188794.87680003632,138904.6230436951,-61594.88204313557,24236.26126802399,-18402.956234842433,-12433.14931668184,16875.421278405578,-21510.653902266557,-8222.940179882758,-32104.205308930563,disease
21,-153210.13909340597,145436.44382964785,100347.98884276932,-69266.93554690099,-24831.178931770697,-39804.57523335244,11357.748168409293,9775.65270426361,5022.873036382803,-1556.6692333177814,disease
22,-70998.79075914838,272968.79434308544,145172.85650437966,88135.66613382213,-45991.900780640186,27352.352482305254,-5709.506350418771,-2192.585686571485,-75299.51088776322,10805.68564449169,disease
23,82276.02299038446,-131000.30350914475,132257.41890893094,51184.37102150312,29014.413935449906,-8789.092802595987,-27615.062566516775,-20589.883651314685,12621.97876940478,27304.91479007097,disease
24,124636.9566080074,367172.44279286015,21808.02826162365,72233.70234120148,-32412.057500608204,30421.433906059356,-529.8733555635537,-31331.83027534708,34900.81240383238,15041.822006691089,disease
25,-19604.402372635497,19975.67416161161,-33503.478209101246,-28581.449060834824,-5665.713228541278,32390.141868858987,550.535164296917,41889.12085964179,25446.831773181817,-15106.94045844126,disease
